@relation C__Users_peter_eclipse-workspace_Prototype_training-data_7_control_of_data-weka.filters.unsupervised.instance.Randomize-S42

@attribute text string
@attribute @@class@@ {A,B,R}

@data
'﻿These set out the criteria we use to determine how long we keep information, what measures we put in place to keep your information safe and secure, and with whom we may share your information.\r\n',R
'﻿When you have registered an account with us or have otherwise provided your personal data, you decided to give us your personal information and not to remain anonymous to us. \nWhen you visit our websites, use our applications, services and tools or reply to our ads or other content, we automatically collect the information you sent to us by your computer, mobile device or other equipment that provides access. \n device ID or unique user identifier, device type, computer and connection information, statistics on page views, traffic to and from the sites, visited sites, referral URL, ad data, IP address and standard web log information; and\n    • anonymous information collected through our use of cookies and web beacons.\r\n',R
'﻿We receive and store any information you enter on our Website or give us in any other way. This includes information that can be used to identify you as an individual or to contact you directly (\"personal information\"). Personal information includes information you provide us such as your first and last name, telephone number, postal and email addresses, user name and password, and billing information (such as your credit card number, cardholder name, and card expiration date).\r\n',R
'﻿If SPIEGEL ONLINE chooses to make changes to our privacy policy concerning the DER SPIEGEL in English app in the future, we will post those changes here in a timely manner. \r\n',R
'﻿or if we have aggregated the information so that it does not personally identify you\r\n',R
'﻿You can review the personal information you have provided us and make any desired changes to such information, or to the settings for\nyour PayPal account, at any time by logging in to your account on the PayPal website, selecting My Account, then Profile and changing\nyour preferences.\r\n',B
'﻿5.3 If you do not want us to use your information as described at condition 4.1.2 above, or to pass your details on to third parties for marketing purposes, please make the appropriate selection on the form on which we collect your information (the registration form) or notify us in accordance with condition 6.1 below.\r\n',R
'﻿There are different parties integrated into the Booking.com services in various ways and for various reasons. The primary purpose is to share your reservation data with the accommodation to complete your reservation. There are also other parties which can receive some of your data, which are parties we involve to provide you with the Booking.com services, financial institutions, advertisers or in some cases authorities. Below we’ll go into more detail about how information you share with us is used and exchanged with these parties\r\n',R
'﻿You can update some of your personal information by signing in to your account page or through your social network provider.\r\n',A
'﻿You may change your choices for subscriptions, newsletters and alerts\nYou may choose whether to receive from us offers and promotions for our products and services, or products and services that we think may be of interest to you\nYou may choose whether we share your personal information with other companies so they can send you offers and promotions about their products and services\nYou may choose whether to receive targeted advertising from many ad networks, data exchanges, marketing analytics and other service providers\r\n',R
'﻿You can close your TripAdvisor account by contacting us using this form. We will send you an email to confirm your request. Please note that after you close an account, you will not be able to sign in or access any of your personal information. However, you can open a new account at any time.\r\n',R
'﻿Information you\'ve provided to us, including on our websites or when you access our services through applications on websites operated by other organisations.\r\n',R
'﻿To assist us in our marketing, in addition to the data that you provide to us if you register, we may also obtain data from trusted third parties to help us understand what you might be interested in. This ‘profiling’ information is produced from a variety of sources, including publicly available data (such as the electoral roll) or from sources such as surveys and polls where you have given your permission for your data to be shared. You can choose not to have such data shared with the Guardian from these sources by logging into your account and changing the settings in the privacy section.\r\n',R
'﻿Be mindful that if you only delete our Services from your device without using our in-app delete my account feature, your information may be stored with us for a longer period. Please remember that when you delete your account, it does not affect the information other users have relating to you, such as their copy of the messages you sent them.\r\n',R
'﻿Other than on Jobs, we won’t share your personal information with non-agent third parties unless we are required to do so by law, or if we believe in good faith that disclosure is reasonably necessary to protect our property, rights or those of third parties or the public at large. It is possible that we may, on occasion, buy or sell assets from or to other companies. If that should occur, user information is typically one of the assets that get transferred. Similarly, if Stack Exchange or most of its assets were acquired, or in the unlikely event that we go out of business or enter bankruptcy, user information could be transferred or acquired. You should be aware that such events can occur, and that if it does, the buyer may continue to use your personal and non-personal information, but only as set forth in this policy. Other than in these rare circumstances, Stack Exchange will not rent or sell potentially personally identifying information to anyone. \r\n',R
'﻿\"…marketing emails where you have agreed to this\"\r\n',R
'﻿We retain the personal data you provide while your account is in existence or as needed to provide you Services. Even if you only use our Services when looking for a new job every few years, we will retain your information and keep your profile open until you decide to close your account. In some cases we choose to retain certain information (e.g., visits to sites carrying our “share with LinkedIn�? or “apply with LinkedIn�? plugins without clicking on the plugin) in a depersonalized or aggregated form\r\n',R
'﻿From time to time, we may update this Privacy Policy. We will notify you about material changes by either sending an email message to the email address you most recently provided to us or by prominently posting a notice on our Service.',R
'﻿And if you edit without registering or logging into your account, your IP address will be seen publicly.\r\n',R
'﻿5.1.5 To notify you about changes to our sites or any services; and\r\n',R
'﻿If you\'re already a GitHub user, you may access, update, alter, or delete your basic user profile information by editing your user profile or contacting GitHub Support.\r\n',A
'﻿The data we collect is information that identifies you personally, and may include:\n• Your name\n• Gender\n• Date of Birth\n• Country\n\r\n',R
'﻿We may also use such aggregate information to help advertisers reach the kind of audience they want to target\r\n',R
'﻿Every image uploaded to Imgur – whether uploaded directly without going through a user account, or uploaded via a user account – has its own URL, and no matter what your privacy settings are, every image can always be accessed and viewed by anyone who types in that exact URL. No image uploaded to Imgur is ever completely hidden from public view. This is mainly to ensure that Imgur, which allows anonymous postings, will n\r\n',R
'﻿You can also permanently delete your Twitter account. When deactivated, your account, including your name, username, and public profile, is not viewable on Twitter.com. For up to 30 days after deactivation it is still possible to restore your account if it was accidentally or wrongfully deactivated. Absent a separate arrangement between you and us to extend your deactivation period, after 30 days, we begin the process of deleting your account from our systems, which can take up to a week.\r\n',R
'﻿We provide many choices about the collection, use and sharing of your data, from deleting or correcting data you include in your profile and controlling the visibility of your posts to advertising opt-outs and communication controls. We offer access to the personal data we have about you (for SlideShare, please contact us)\r\n',A
'﻿We will keep your data for as long as necessary to fulfil the purposes above or for as long as we are required by law. After this your personal data will be deleted.\r\n',R
'﻿Reuters may also want to share behavioural data with other websites. This may mean that when you are on other websites you are served advertising based on your behaviour on Reuters, and on Reuters you may be served advertising based on your behaviour on other sites.\r\n',R
'﻿ You may provide a variety of information about yourself to us, such as your name, email address, postal mailing address, telephone number, credit card number, and billing information when you register for a Twitch Service\r\n',R
'﻿\"we may also use and disclose information in aggregate (so that no\nindividuals are identified) for marketing and strategic development\npurposes;\"\n\r\n',R
'﻿We can’t help you book the perfect accommodation without information, so when you use our services there are certain pieces of information we ask for. This is pretty basic stuff – your name, preferred contact details, the names of anybody travelling with you and your payment information. In addition to this, we also collect information from your computer. This can include the IP address, the browser you use, and your language settings. There are also situations in which we receive information about you from others or automatically collect other information. This is the basic overview of the information we collect, but if you’d like to know more, we go into a lot more detail below\r\n',R
'﻿We also collect information from social media activity such as when you ‘like’ the Website, share content or follow us on Twitter.  When you sign in to the Website using social media you grant permission to the social network to share your user details. Depending on the network this will include basic account information such as name, email address, date of birth and any other details you choose to share according to your particular social media account settings.\r\n',R
'﻿You and others may post content that includes information about you on our Services (as part of blog posts, feed updates and comments, videos). Unless you opt-out, we collect public information about you, such as professional-related news and accomplishments (e.g., patents granted, professional recognition, conference speakers, projects, etc.) and make it available as part of our Services (e.g. suggestions for your profile, or notifications of mentions in the news).\r\n',R
'﻿You may also unsubscribe from a notification by following the instructions contained within the notification or the instructions on our website. \r\n',R
'﻿We will keep your information only for as long as it is relevant and useful for the purpose for which it was originally collected.\r\n',R
'﻿Although we will do our best to protect your personal data, we cannot guarantee the security of your data transmitted to the Website; any transmission is at your own risk. Once we have received your information, we will use strict procedures and security features to try to prevent unauthorised access.\r\n',R
'﻿\"BBC is commited to safeguarding your personal information..\"\r\n',R
'﻿sending email to the email address specified in your GitHub primary account.\r\n',R
'﻿If you are a MileagePlus member, you can create, view or update your MileagePlus account by accessing it through the MileagePlus profile section on united.com or by calling 1-800-421-4655. You may also update information relevant to your use of our mobile application(s) through the app itself.\r\n',B
'﻿Information we may hold about you\n[…]\nInformation about your interaction with our websites, mobile apps and other products and services, including adverts\nInformation we collect using cookies stored on your device about your use of our websites and/or selected third party websites.\nInformation we collect or remember using technologies similar to cookies, such as device identifiers on your mobile device.\nYour IP address, which is a number that identifies a specific network device on the internet which allows your device to communicate with websites and apps.\nTechnical information from your device relating to the service you receive\nInformation relating to the location of your device.\n\r\n',R
'﻿Your data can include real-time data like your heart rate and daily steps taken. It can also include your health records if you choose to use HealthVault to store that data\r\n',R
'﻿To delete your account in its entirety, please navigate to Options -> Account -> Delete Account and follow the instructions under “Delete Account\r\n',R
'﻿We do not knowingly use information we collect about children known to be under the age of 13 for any marketing or promotional purposes, nor do we permit our affiliates, third-party sponsors or other third parties with whom we may share information to do so. We use the information collected about children known to be under 13 only to provide services. We will give out personal information about children if required by law, for example to comply with a court order or subpoena, or to protect the safety and security of visitors and our sites\r\n',R
'﻿we use data like your location, Bing web searches, Microsoft or advertiser web pages you view, demographics, and things you’ve favorited. We don’t use what you say in email, chat, video calls or voice mail, or your documents, photos or other personal files to target ads to you\r\n',R
'﻿We may collect information from you when you use our mobile application(s), including, but not limited to: name, email address, MileagePlus account information, government ID or passenger redress number, passport information and/or photograph, date of birth, payment information (e.g., credit card number, expiration date and billing name and address), if not already provided\r\n',R
'﻿Personal data shall be deleted if you revoke your consent to collect or record such information, if this information is no longer needed to be retained in order to fulfill the intended purpose behind collecting and recording such data, or if such record is otherwise no longer permissible according to law.\r\n',R
'﻿You have a choice about how we use your personal information to communicate with you, to send you\nmarketing information, how we provide you with customized and relevant advertising, and whether you\nwant to stay signed into your account.\nIf you do not wish to receive marketing communications from us, you can unsubscribe using the\nlink in the email you receive, change your marketing preferences in My Gumtree, or indicate your\ncommunication preferences in a direct communication to us by contacting \nIf you do not wish to participate in our advertising personalization programs, you can opt-out by\nfollowing the directions provided within the applicable advertisement, or directly at our \nIf you withdraw your consent for the use or disclosure of your personal information for purposes\nset out in this Privacy Notice you may not have access to all our Services and we might not be able\nto provide you all of the Services and customer support offered to our users and authorized under\nthis Privacy Notice and our Terms of Use.\r\n',R
'﻿Technical information from the devices you use to receive Sky content, products and services, for example, the collection of diagnostic and traffic information.\r\n',R
'﻿You may delete your myRyanair account by contacting Ryanair’s chat assistance channel (click here) or call centre (click here). \r\n',R
'﻿\nOur websites are general audience websites, and our Services are not intended for individuals\nunder the age of 18. We do not knowingly collect personal information from users in this age group.\r\n',R
'﻿Cookies can be used to determine whether a communication link has already been established to our pages from your computer. Cookies cannot be allocated to particular persons and do not contain personal information.\r\n',R
'﻿You have the right to ask us not to process your personal data for marketing purposes\r\n',R
'﻿Yahoo also automatically receives and records information on our server logs from your browser including your IP address, Yahoo cookie information, software and hardware attributes, and the page that you requested. \r\n',R
'﻿This Policy only applies to information collected by Stack Exchange. It does not apply to the practices of companies that we don’t own or control, or employees that we don’t manage. The network contains links to third party websites, and any information you provide to those sites will be covered by any privacy policies they may have. Please be sure to read the privacy policies of any third-party sites you visit. It is those sites’ responsibility to protect any information you give them, so we can’t be held liable for their wrongful use of your personally identifying information. \r\n',R
'﻿\nWe protect your information using appropriate technical and administrative security measures to\nreduce the risks of loss, misuse, unauthorized access, disclosure and alteration. Some of the\nsafeguards we use are firewalls and data encryption, physical access controls to our data centers,\nand information access authorization controls.\r\n',R
'﻿You always have the right to review the personal information we keep about you. You can request an overview of your personal data by emailing us to the email address stated below. Please write \'Request personal information\' in the subject line of your email to speed things along a bit\r\n',B
'﻿When you access the Twitch Service or open one of our emails, we may automatically record and store certain information about your system by using cookies and other types of technologies. Cookies are small text files containing a string of alphanumeric characters that are sent to your browser.\r\n',R
'﻿Additional Verification: If we cannot verify the information that you provide, or if you request a withdrawal by cheque to an address other\nthan your verified credit card billing address, we may ask you to upload or send us additional information by fax (such as your driving\nlicence, credit card statement, and/or a recent utility bill, or other information linking you to the applicable address), or to answer additional\nquestions online to help verify your information.\r\n',R
'﻿if you would like us to stop processing your information, please do not hesitate to contact a customer service \r\n',R
'﻿Where we have given you or you have chosen a password which enables you to access certain parts of our website, you are responsible for keeping this password confidential.\r\n',R
'﻿You can adjust your Windows 10 privacy settings for everything from basic telemetry to personalized services at any time by going to Settings > Privacy > Feedback & diagnostics. \r\n',A
'﻿GMX may also collect information about how users access the website using a tracking ID unique to each user through the use of cookies.Session ID cookies may be used by GMX to track user preferences while the user is visiting the website. Like most standard websites, we use log files. This information may include internet protocol (IP) addresses, browser type, internet service provider (ISP), referring/exit pages, platform type, date/time stamp, and number of clicks to analyze trends, administer the site, track user\'s movement in the aggregate, and gather broad demographic information for aggregate use\r\n',R
'﻿6.2 You agree that we may share your personal information with third parties:\r\n',R
'﻿statistical information and log data about number of visits to certain pages on the site (e.g. the home page); the pages you viewed and activities you carried out during your visit; the date and time of your visit; the duration of an individual page view, the paths taken by visitors through the site – this is also non-personally identifiable information\r\n',R
'﻿We may amend or update our Privacy Policy. We will provide you notice of amendments to this Privacy Policy, as appropriate, and update the “Last Modified�? date at the top of this Privacy Policy. Your continued use of our Services confirms your acceptance of our Privacy Policy, as amended. If you do not agree to our Privacy Policy, as amended, you must stop using our Services. Please review our Privacy Policy from time to time.\r\n',R
'﻿You can remove or modify your personal information at any time by logging in to your account at GMX and navigating to Options -> Account -> Account Data\r\n',R
'﻿We use third-party advertising companies to serve ads when you visit our website or use our apps. These companies may use information about your visits to this and other web sites in order to provide advertisements about goods and services of interest to you.\r\n',R
'﻿Consent: We may rely on your consent to use your personal information for certain direct marketing purposes. You may withdraw your consent at any time by contacting us at the addresses at the end of this Privacy Statement.\r\n',R
'﻿We may also share aggregated or non-personally identifiable information with our partners, advertisers or others. For example, we may tell an advertiser on Pinterest how many people saved something they shared, or the percentage of people who click on a Pin after viewing it.\r\n',R
'﻿We take every reasonable precaution to protect your private data from loss, misuse, unauthorized access, disclosure, alteration, or destruction.\r\n',R
'﻿Yahoo uses information (including anonymous and pseudonymous information, as well as personally identifiable information) for the following general purposes: to personalise the advertising and content that you see, fulfil your requests for products and services, improve our services, contact you, conduct research and provide anonymous reporting for internal and external clients.\r\n',R
'﻿Aggregate information, such as demographic information, domain names, other site traffic information, etc., may at times be shared with United partners or other third parties. Examples of aggregate information are X\% of eligible tickets purchased are eTickets; X\% of subscribers use a mobile application, etc.\r\n',R
'﻿Your data may be provided to clients of SportsNewMedia Limited to be appended to information they already hold about you for the purpose of contacting you with information about their products and services. When first contacting you these clients will seek your appropriate consent.\r\n',R
'﻿\"..any personal information you provide to us..\" \"name, email address, postal address, telephone, mobile number, gender, date of birth as wella s information collected about your use…\"\r\n',R
'﻿Individual images can be toggled between \"private\" and \"public\" through your personal settings menu, accessible by clicking your username after you\'ve signed in\r\n',R
'﻿You may correct, update and delete your registration account\r\n',R
'﻿The security of personal data such as name, address, telephone number or email, is a serious and important concern for thomann our company. Therefore, we conduct our online activities in compliance with the respective statutory provisions relating to data protection and data security.\r\n',R
'﻿You can opt-out of online behavioural advertising cookies on this website on our “Controlling online behavioural advertising and other third party cookies�? page.\r\n',R
'﻿You may also send an e-mail or letter to the following e-mail or street address requesting access to or correction of your personal Information. Please include your registration information for such service such as first name, last name and e-mail address in the request. We may ask you to provide additional information for identity verification purposes, or to verify that you are in possession of an applicable email account.\r\n',A
'﻿–Access and change information in your profile page at any time, choose whether your profile page is available to search engines, or choose whether others can find your Pinterest account using your email address.\n  \n–Link or unlink your Pinterest account from an account on another service (e.g., Facebook or Twitter). For some services (like Facebook), you can also choose whether or not to publish your activity on Pinterest to that service.\n  \n–Create or be added to a secret board. Secret boards are visible to you and other participants in the board, and any participant may choose to make the contents of the board available to anyone else. For example, another participant may invite someone else to the board, make the board available to an app they use to view Pinterest, or even just take an image from the board and email it to their friends. For more information about secret boards, please visit our Help Center.\n  \n–Choose whether Pinterest will be customized for you using information from off-Pinterest websites or apps. If you have a Pinterest account and want to control how your off-Pinterest data is used to tailor your experience, you can visit your account settings and update your preferences. If you don’t have a Pinterest account, or don’t want us to customize Pinterest for you when you’re signed out, you can opt out here.\n  \n–Choose whether your purchases on Pinterest will be used to customize recommendations and ads for you. You can view and manage your purchase history by going to “Order history�? in your account settings, and if you hide a purchase from your history, we won’t use it to customize Pinterest for you.\n  \n–Also, we support the Do Not Track browser setting, and you can learn more about how it affects our collection and use of off-Pinterest data.\n\r\n',B
'﻿Transaction information you provide when you request information or purchase a product or service from us, whether on our sites or through our applications, including your postal address, telephone number and payment information\r\n',R
'﻿We will not share your personal information with others for marketing purposes unless you have given us your permission.\r\n',R
'﻿When you visit our website, we record your IP address (i.e. the internet address of your computer – not your thomann email address) and other general usage data in order to assess which parts of our website you visit and how long you stay there.\r\n',R
'﻿We may share or disclose non-personal, aggregated, or device-level information such as the total number of times people engaged with a Tweet, the number of users who clicked on a particular link or voted on a poll in a Tweet (even if only one did), the characteristics of a device or its user when it is available to receive an ad, the topics that people are Tweeting about in a particular location, or aggregated or device-level reports to advertisers about users who saw or clicked on their ads. \r\n',R
'﻿From time to time, we may change this privacy policy to accommodate new technologies, industry practices, regulatory requirements or for other purposes. We will provide notice to you if these changes are material and, where required by applicable law, we will obtain your consent.\r\n',R
'﻿We want you to feel confident about using TripAdvisor, and we are committed to protecting the information we collect. While no website can guarantee security, we have implemented and maintain appropriate physical, administrative, technical, and organisational measures to protect the personal information you provide us against unauthorized or unlawful access, use of disclosure, and against accidental loss, damage, alteration or destruction. For example, only authorized employees are permitted to access personal information, and they only may do so for permitted business functions. In addition, we use encryption when transmitting your personal information between your system and ours, and between our system and those of the parties with whom we share sensitive information, and we employ firewalls and intrusion detection systems to help prevent unauthorized persons from gaining access to your information.\r\n',R
'﻿We do our very best to protect your privacy by using security technology appropriately. This means: we make sure that we have appropriate security measures to protect your information; and we make sure that when we ask another organisation to provide a service for us, they have appropriate security measures.\r\n',R
